Name,Location,Ranking,ProgramDetails,TuitionFees
University of Huddersfield,United Kingdom,Not in the top rankings,Business Management,"Minimum 65% in relevant subjects, IELTS 6.5"
University of Huddersfield,United Kingdom,Not in the top rankings,Psychology,"Minimum 55% in relevant subjects, IELTS 6.0"
Arizona State University,United States,Not in the top rankings,Environmental Science,"GPA 2.5, IELTS 6.0"
Arizona State University,United States,Not in the top rankings,Hospitality Management,"GPA 3.0, IELTS 6.5"
Arizona State University,United States,Not in the top rankings,Political Science,"GPA 2.8, IELTS 6.5"
Bielefeld University,Germany,Not in top rankings,Computer Science,"High School Diploma, Mathematics background, IELTS 6.5"
Bielefeld University,Germany,Not in top rankings,Environmental Studies,"Bachelor's degree in related field, IELTS 6.0"
University of North Alabama,USA,Regional university,Hospitality Management,"High School Diploma, IELTS 6.0"
University of North Alabama,USA,Regional university,Criminal Justice,"Bachelor's degree, IELTS 6.5"
University of the Fraser Valley,Canada,Primarily Undergraduate university,Graphic and Digital Design,"Portfolio, IELTS 6.0"
University of the Fraser Valley,Canada,Primarily Undergraduate university,Criminology,"High School Diploma, IELTS 6.5"
University of Sunderland,UK,Not in top rankings,Business Management,"Bachelor's degree, IELTS 6.5"
University of Sunderland,UK,Not in top rankings,Public Health,"Bachelor's degree in related field, IELTS 6.0"
University of Southern Queensland,Australia,Regional university,Education,"Bachelor's degree, IELTS 6.0"
University of Southern Queensland,Australia,Regional university,Psychology,"Bachelor's degree in related field, IELTS 6.5"
Amity University,India,Private university,Biotechnology,"High School Diploma, IELTS 6.5"
Amity University,India,Private university,Journalism and Mass Communication,"High School Diploma, IELTS 6.0"
University of Bayreuth,Germany,Top 50 in Germany,Bachelor in Economics,"High school diploma, GPA above 3.0, IELTS 6.0"
University of Bayreuth,Germany,Top 50 in Germany,Master in African Verbal and Visual Arts,"Bachelor's degree, GPA above 3.3, IELTS 6.5"
University of New Haven,USA,Regional University North,Bachelor in Marine Biology,"High school diploma, GPA above 2.5, IELTS 6.0"
University of New Haven,USA,Regional University North,Master in National Security,"Bachelor's degree, GPA above 3.0, IELTS 6.5"
University of Salford,UK,Top 80 in the UK,Bachelor in International Business,"High school diploma, GPA above 2.8, IELTS 6.0"
University of Salford,UK,Top 80 in the UK,Master in Media Production,"Bachelor's degree, GPA above 3.0, IELTS 6.5"
Savitribai Phule Pune University,India,Top 10 in India,Bachelor in Computer Science,"High school diploma, GPA above 3.0, IELTS 6.0"
Savitribai Phule Pune University,India,Top 10 in India,Master in Biotechnology,"Bachelor's degree, GPA above 3.3, IELTS 6.5"
University of Potsdam,Germany,Not in top rankings,Computer Science,"High school diploma, Mathematics proficiency, IELTS 6.5"
University of Potsdam,Germany,Not in top rankings,Environmental Management,"Bachelor's degree in related field, IELTS 6.0"
University of North Dakota,USA,Not in top rankings,Aviation Management,"High school diploma, IELTS 6.0"
University of North Dakota,USA,Not in top rankings,Social Work,"Bachelor's degree in related field, IELTS 6.5"
University of New Brunswick,Canada,Not in top rankings,Civil Engineering,"High school diploma, Mathematics proficiency, IELTS 6.5"
University of New Brunswick,Canada,Not in top rankings,Biomedical Engineering,"Bachelor's degree in related field, IELTS 6.0"
University of East Anglia,UK,Not in top rankings,Development Economics,"Bachelor's degree in Economics or related field, IELTS 7.0"
University of East Anglia,UK,Not in top rankings,Climate Change Management,"Bachelor's degree in Environmental Science or related field, IELTS 6.5"
University of Marburg,Germany,Not in top rankings,Bachelor of Computer Science,"High school diploma, Math background, IELTS 6.5"
University of Marburg,Germany,Not in top rankings,Master of Economics,"Bachelor's degree in Economics or related field, IELTS 6.0"
"University of Nevada, Las Vegas",USA,Not in top rankings,Bachelor of Fine Arts,"Portfolio submission, IELTS 6.0"
"University of Nevada, Las Vegas",USA,Not in top rankings,Master of Public Administration,"Bachelor's degree, GRE scores, IELTS 6.5"
University of Derby,UK,Not in top rankings,Bachelor of Tourism Management,"High school diploma, Recommendation letter, IELTS 6.0"
University of Derby,UK,Not in top rankings,Master of Marketing,"Bachelor's degree, Work experience, IELTS 6.5"
Technical University of Munich,Germany,Top 100,Computer Science,"High School Diploma, Grades: 1.5 or better, IELTS: 6.5"
Technical University of Munich,Germany,Top 100,Mechanical Engineering,"High School Diploma, Grades: 2.0 or better, IELTS: 6.0"
Simon Fraser University,Canada,Top 300,Business Administration,"High School Diploma, Grades: B+ or better, IELTS: 6.5"
Simon Fraser University,Canada,Top 300,Environmental Science,"High School Diploma, Grades: B or better, IELTS: 6.0"
Indian Institute of Science (IISc) Bangalore,India,Top 50,Biotechnology,"Bachelor's Degree, Grades: 60% or better, IELTS: 6.5"
Indian Institute of Science (IISc) Bangalore,India,Top 50,Aerospace Engineering,"Bachelor's Degree, Grades: 55% or better, IELTS: 6.0"
University of Bremen,Germany,Not in top rankings,Environmental Sciences,"High school diploma, GPA of 2.5 or higher, IELTS 6.0"
University of Bremen,Germany,Not in top rankings,Computer Science,"High school diploma, GPA of 3.0 or higher, IELTS 6.5"
University of Bremen,Germany,Not in top rankings,Business Administration,"High school diploma, GPA of 2.8 or higher, IELTS 6.0"
University of Saskatchewan,Canada,Not in top rankings,Psychology,"High school diploma, GPA of 3.0 or higher, IELTS 6.5"
University of Saskatchewan,Canada,Not in top rankings,Civil Engineering,"High school diploma, GPA of 2.8 or higher, IELTS 6.0"
University of Saskatchewan,Canada,Not in top rankings,Nutrition and Food Sciences,"High school diploma, GPA of 3.2 or higher, IELTS 6.5"
University of Liverpool,United Kingdom,Not in top rankings,Film Studies,"High school diploma, GPA of 2.7 or higher, IELTS 6.0"
University of Liverpool,United Kingdom,Not in top rankings,Archaeology,"High school diploma, GPA of 3.0 or higher, IELTS 6.5"
University of Liverpool,United Kingdom,Not in top rankings,Fashion Marketing,"High school diploma, GPA of 2.8 or higher, IELTS 6.0"
University of Pune,India,Not in top rankings,Biotechnology,"High school diploma, GPA of 2.7 or higher, IELTS 6.0"
University of Pune,India,Not in top rankings,Journalism and Mass Communication,"High school diploma, GPA of 3.0 or higher, IELTS 6.5"
University of Pune,India,Not in top rankings,Interior Design,"High school diploma, GPA of 2.8 or higher, IELTS 6.0"
University of Graz,Austria,Not ranked,Bachelor of Arts in English Studies,"High school diploma, letter of motivation, language proficiency test"
University of Graz,Austria,Not ranked,Master of Science in Physics,"Bachelor's degree in related field, CV, letter of recommendation"
University of Graz,Austria,Not ranked,PhD in Economics,"Master's degree in Economics, research proposal, interview"
Brock University,Canada,Not ranked,Bachelor of Business Administration,"High school diploma, personal statement, reference letters"
Brock University,Canada,Not ranked,Bachelor of Arts in Psychology,"High school diploma, entrance test, interview"
Brock University,Canada,Not ranked,Master of Education,"Bachelor's degree in Education, teaching experience, statement of intent"
University of Kassel,Germany,Not in top ranks,Computer Science,"Bachelor's degree in related field, GPA 2.5 or higher, IELTS 6.0"
University of Kassel,Germany,Not in top ranks,Environmental Engineering,"Bachelor's degree in engineering, GPA 2.7 or higher, IELTS 6.5"
Heidelberg University,Germany,Not in top rankings,Bachelor of Arts in Political Science,"High school diploma, good academic record"
Heidelberg University,Germany,Not in top rankings,Master of Science in Molecular Biosciences,Bachelor's degree in related field
Heidelberg University,Germany,Not in top rankings,PhD in Physics,Master's degree in Physics or related field
University of Victoria,Canada,Not in top rankings,Bachelor of Science in Psychology,"High school diploma, good academic record"
University of Victoria,Canada,Not in top rankings,Master of Business Administration (MBA),Bachelor's degree in any discipline
University of Victoria,Canada,Not in top rankings,PhD in Computer Science,Master's degree in Computer Science or related field
Coventry University,UK,Not in top rankings,Bachelor of Engineering in Civil Engineering,"High school diploma, good academic record"
Coventry University,UK,Not in top rankings,Master of Arts in International Relations,Bachelor's degree in any discipline
Coventry University,UK,Not in top rankings,PhD in Economics,Master's degree in Economics or related field
Technical University of Dortmund,Germany,Not Available,Computer Science,"High school diploma or equivalent, strong knowledge in mathematics, minimum GPA of 2.5, IELTS 6.0"
Technical University of Dortmund,Germany,Not Available,Mechanical Engineering,"High school diploma or equivalent, strong foundation in physics and mathematics, minimum GPA of 2.8, IELTS 6.5"
University of Limerick,Ireland,Not in top rankings,Bachelor of Science in Computer Science,"High School Diploma, Mathematics background"
University of Limerick,Ireland,Not in top rankings,Master of Business Administration,Bachelor's degree in related field
University of Canterbury,New Zealand,Not in top rankings,Bachelor of Arts in Psychology,"High School Diploma, Science background"
University of Canterbury,New Zealand,Not in top rankings,Master of Engineering in Civil Engineering,Bachelor's degree in Engineering
University of Otago,New Zealand,Not in top rankings,Bachelor of Science in Chemistry,"High School Diploma, Science background"
University of Otago,New Zealand,Not in top rankings,Master of Science in Neuroscience,Bachelor's degree in related field
University of Waikato,"Hamilton, New Zealand",Not in top rankings,Bachelor of Laws,"High School Diploma, English background"
University of Waikato,"Hamilton, New Zealand",Not in top rankings,"Master of Health, Sport and Human Performance",Bachelor's degree in related field
University of Kaiserslautern,Germany,Not in the top rankings,Computer Science,"High school diploma, Basic knowledge of programming, IELTS 6.5"
University of Kaiserslautern,Germany,Not in the top rankings,Mechanical Engineering,"High school diploma, Mathematics background, IELTS 6.0"
"California State University, Fresno",USA,Regional university,Business Administration,"High school diploma, TOEFL 80"
"California State University, Fresno",USA,Regional university,Nursing,"High school diploma, Biology background, IELTS 6.5"
University of Technology Sydney,Australia,Mid-range university,Civil Engineering,"High school diploma, Mathematics background, IELTS 6.0"
University of Technology Sydney,Australia,Mid-range university,Information Technology,"High school diploma, Basic programming knowledge, IELTS 6.5"
University of Bedfordshire,United Kingdom,Not in top rankings,BSc in Computer Science,"High school diploma, Mathematics background"
University of Bedfordshire,United Kingdom,Not in top rankings,BA in Business Management,High school diploma
University of Bedfordshire,United Kingdom,Not in top rankings,MSc in Marketing,Bachelor's degree in related field
Indian Institute of Technology Guwahati,India,Not in top rankings,B.Tech in Civil Engineering,"12th Grade with Physics, Chemistry, Mathematics"
Indian Institute of Technology Guwahati,India,Not in top rankings,M.Tech in Biotechnology,Bachelor's degree in related field
Indian Institute of Technology Guwahati,India,Not in top rankings,Ph.D. in Computer Science,Master's degree in related field
University of South Wales,United Kingdom,Not in the top rankings,Business Management,"High school diploma, minimum 65% average, IELTS 6.0"
University of South Wales,United Kingdom,Not in the top rankings,Computer Science,"High school diploma, minimum 70% average in Math and Science subjects, IELTS 6.5"
University of South Wales,United Kingdom,Not in the top rankings,Psychology,"High school diploma, minimum 60% average, IELTS 6.0"
University of New South Wales,Australia,Not in the top rankings,Civil Engineering,"High school diploma, minimum 75% average in Math and Science subjects, IELTS 6.5"
University of New South Wales,Australia,Not in the top rankings,Media Studies,"High school diploma, minimum 65% average, IELTS 6.0"
University of New South Wales,Australia,Not in the top rankings,Hospitality Management,"High school diploma, minimum 60% average, IELTS 6.0"
Munich Business School,"Munich, Germany",Not in top rankings,Bachelor in International Business,"High school diploma, letter of motivation, CV, IELTS 6.5"
Munich Business School,"Munich, Germany",Not in top rankings,Master in Management,"Bachelor's degree, GMAT/GRE, CV, letter of motivation, IELTS 6.5"
University of North Florida,"Jacksonville, Florida, USA",Not in top rankings,Bachelor in Psychology,"High school diploma, SAT/ACT, personal statement, IELTS 6.0"
University of North Florida,"Jacksonville, Florida, USA",Not in top rankings,Master in Public Administration,"Bachelor's degree, GRE, letters of recommendation, resume, IELTS 6.5"
University of Canberra,"Canberra, Australia",Not in top rankings,Bachelor of Information Technology,"High school diploma, IELTS 6.0"
University of Canberra,"Canberra, Australia",Not in top rankings,Master of Business Administration,"Bachelor's degree, work experience, IELTS 6.5"
University of Gloucestershire,"Cheltenham, UK",Not in top rankings,BA (Hons) Fashion Design,"High school diploma, portfolio, IELTS 6.0"
University of Gloucestershire,"Cheltenham, UK",Not in top rankings,MSc Cyber Security,"Bachelor's degree, relevant background, IELTS 6.5"
University of Winnipeg,"Winnipeg, Canada",Not in top rankings,Bachelor of Business Administration,"High school diploma, personal statement, IELTS 6.0"
University of Winnipeg,"Winnipeg, Canada",Not in top rankings,Master of Arts in Criminal Justice,"Bachelor's degree, letters of recommendation, IELTS 6.5"
Christ University,"Bangalore, India",Not in top rankings,BBA (Bachelor of Business Administration),"High school diploma, entrance exam, personal interview, IELTS 6.0"
Christ University,"Bangalore, India",Not in top rankings,MSc Psychology,"Bachelor's degree, entrance test, personal interview, IELTS 6.5"
University of Guelph,Canada,Not in the top rankings,Bachelor of Arts in Psychology,"High school diploma, minimum 80% average, IELTS 6.5"
University of Guelph,Canada,Not in the top rankings,Bachelor of Science in Computer Science,"High school diploma, minimum 75% average, IELTS 6.0"
University of North Carolina at Greensboro,USA,Not in the top rankings,Bachelor of Fine Arts in Dance,"High school diploma, audition required, IELTS 6.0"
University of North Carolina at Greensboro,USA,Not in the top rankings,Bachelor of Science in Nutrition,"High school diploma, minimum 2.5 GPA, IELTS 6.5"
University of Bedford,United Kingdom,Not ranked,Bachelor of Arts in History,"Minimum of 2 A-levels with grades AAB or equivalent, IELTS 6.5"
University of Bedford,United Kingdom,Not ranked,Master of Science in Psychology,"Bachelor's degree in Psychology with a minimum of 2:1, IELTS 7.0"
University of Bedford,United Kingdom,Not ranked,Bachelor of Science in Computer Science,"Minimum of 3 A-levels with grades BBB or equivalent, IELTS 6.0"
Berlin School of Economics and Law,Germany,Not ranked,Bachelor of Business Administration,"German Abitur with a minimum grade of 2.0, IELTS 6.5"
Berlin School of Economics and Law,Germany,Not ranked,Master of International Business,"Bachelor's degree with GPA of 2.5 or higher, IELTS 6.5"
Berlin School of Economics and Law,Germany,Not ranked,Bachelor of Laws,"German Abitur with a minimum grade of 1.5, IELTS 7.0"
University of Western Sydney Bankstown Campus,Australia,Not ranked,Bachelor of Nursing,"High School Diploma with average of 70%, IELTS 7.0"
University of Western Sydney Bankstown Campus,Australia,Not ranked,Master of Education,"Bachelor's degree with GPA of 2.5 or higher, IELTS 6.5"
University of Western Sydney Bankstown Campus,Australia,Not ranked,Bachelor of Business Administration,"High School Diploma with average of 75%, IELTS 6.0"
University of Leipzig,Germany,Not in top rankings,Bachelor in Economics,"High school diploma, German language proficiency"
University of Leipzig,Germany,Not in top rankings,Master in International Relations,"Bachelor's degree, English language proficiency"
University of Central Florida,USA,Not in top rankings,Bachelor in Environmental Science,"High school diploma, SAT/ACT scores"
University of Central Florida,USA,Not in top rankings,Master in Public Administration,"Bachelor's degree, GRE scores"
University of Hull,UK,Not in top rankings,Bachelor in Criminology,"High school diploma, personal statement"
University of Hull,UK,Not in top rankings,Master in Marketing,"Bachelor's degree, reference letters"
University of Bologna,Italy,601-800,Bachelor of Economics,"High School Diploma, GPA 7.0/10, IELTS 6.5"
University of Bologna,Italy,601-800,Master of Computer Science,"Bachelor's degree, GPA 7.5/10, IELTS 7.0"
University of Bologna,Italy,601-800,Ph.D. in Physics,"Master's degree, research proposal, IELTS 7.5"
University of Essex,United Kingdom,301-350,Bachelor of Sociology,"High School Diploma, GPA 6.5/10, IELTS 6.0"
University of Essex,United Kingdom,301-350,Master of Marketing,"Bachelor's degree, GPA 7.0/10, IELTS 6.5"
University of Essex,United Kingdom,301-350,Ph.D. in Economics,"Master's degree, research experience, IELTS 7.0"
University of Bradford,United Kingdom,601-800 (THE World University Rankings),BSc Computer Science,"A-levels: BBB, IELTS: 6.0"
University of Bradford,United Kingdom,601-800 (THE World University Rankings),BA Business and Management,"A-levels: BBC, IELTS: 6.0"
University of Bradford,United Kingdom,601-800 (THE World University Rankings),MSc Marketing Management,"Bachelor's degree with 2:2, IELTS: 6.0"
University of Bradford,United Kingdom,601-800 (THE World University Rankings),BEng Civil and Structural Engineering,"A-levels: BBB, IELTS: 6.0"
University of Bradford,United Kingdom,601-800 (THE World University Rankings),MA International Development Management,"Bachelor's degree with 2:1, IELTS: 6.5"
University of Wollongong Dubai,United Arab Emirates,Not ranked,Bachelor of Commerce,"High School Diploma with minimum 60%, IELTS: 6.0"
University of Wollongong Dubai,United Arab Emirates,Not ranked,Master of Engineering Management,"Bachelor's degree with GPA 2.5, IELTS: 6.5"
University of Wollongong Dubai,United Arab Emirates,Not ranked,Bachelor of Computer Science,"High School Diploma with minimum 60%, IELTS: 6.0"
University of Wollongong Dubai,United Arab Emirates,Not ranked,Master of Business Administration,"Bachelor's degree with GPA 2.5, IELTS: 6.5"
University of Wollongong Dubai,United Arab Emirates,Not ranked,Bachelor of Engineering (Civil),"High School Diploma with minimum 60%, IELTS: 6.0"
University of Hohenheim,Germany,Not in top rankings,Bachelor of Business Administration,"High school diploma, German Abitur or equivalent, IELTS 6.5"
University of Hohenheim,Germany,Not in top rankings,Master of Agricultural Sciences,"Bachelor's degree in related field, IELTS 6.5"
University of Hohenheim,Germany,Not in top rankings,PhD in Economics,"Master's degree in Economics, IELTS 7.0"
University of Ulm,Germany,Not in the top rankings,Computer Science,"Bachelor's degree in a related field, minimum GPA of 2.5, IELTS 6.0"
University of Ulm,Germany,Not in the top rankings,Business Administration,"Bachelor's degree, minimum GPA of 2.7, IELTS 6.5"
University of Applied Sciences and Arts Northwestern Switzerland,Switzerland,Not available,Bachelor of Science in Computer Science,"High school diploma, Mathematics background, Basic programming skills"
University of Applied Sciences and Arts Northwestern Switzerland,Switzerland,Not available,Master of Science in Life Sciences,"Bachelor's degree in a related field, CV, Letter of motivation"
University of Göttingen,Germany,Not available,Bachelor of Arts in History,"High school diploma, Letter of recommendation, Statement of purpose"
University of Göttingen,Germany,Not available,Master of Science in Physics,"Bachelor's degree in Physics or related field, GRE scores, Research proposal"
"University of Newcastle, Australia",Australia,Not available,Bachelor of Engineering (Civil),"High school diploma, Mathematics and Physics background, Personal statement"
"University of Newcastle, Australia",Australia,Not available,Master of Business Administration,"Bachelor's degree, Work experience, Letter of recommendation"
University of Portsmouth,United Kingdom,Not available,Bachelor of Arts in Psychology,"High school diploma, Personal statement, Interview"
University of Portsmouth,United Kingdom,Not available,Master of Science in Biotechnology,"Bachelor's degree in Biology or related field, Research proposal, CV"
Amrita Vishwa Vidyapeetham,India,Not available,Bachelor of Technology in Computer Science,"High school diploma, Mathematics background, Entrance exam"
Amrita Vishwa Vidyapeetham,India,Not available,Master of Business Administration,"Bachelor's degree, Entrance exam, Interview"
University of Guelph-Humber,Canada,Not in top rankings,Business Administration,"Minimum 75% in high school with Math and English, IELTS 6.5"
University of Guelph-Humber,Canada,Not in top rankings,Media Studies,"Minimum 70% in high school, IELTS 6.0"
University of Guelph-Humber,Canada,Not in top rankings,Psychology,"Minimum 80% in high school, IELTS 6.5"
University of Western Sydney Campbelltown Campus,Australia,Not in top rankings,Computer Science,"Minimum 65% in high school Math, IELTS 6.0"
University of Western Sydney Campbelltown Campus,Australia,Not in top rankings,Environmental Science,"Minimum 70% in high school Science, IELTS 6.0"
University of Western Sydney Campbelltown Campus,Australia,Not in top rankings,Hospitality Management,"Minimum 60% in high school, IELTS 5.5"
Manipal Academy of Higher Education,India,Not in top rankings,Engineering (Computer Science),"Minimum 60% in high school Science and Math, IELTS 6.0"
Manipal Academy of Higher Education,India,Not in top rankings,Journalism and Mass Communication,"Minimum 55% in high school, IELTS 6.5"
Manipal Academy of Higher Education,India,Not in top rankings,Biotechnology,"Minimum 50% in high school Science, IELTS 6.0"
University of Hildesheim,Germany,Not ranked,Bachelor in Educational Science,"High school diploma, German language proficiency"
University of Hildesheim,Germany,Not ranked,Master in Intercultural Communication and European Studies,"Bachelor's degree, English language proficiency"
University of West Florida,USA,Not ranked,Bachelor in Marine Biology,"High school diploma, SAT/ACT scores, English language proficiency"
University of West Florida,USA,Not ranked,Master in Cybersecurity,"Bachelor's degree, GRE scores, English language proficiency"
Amity University Mumbai,India,Not ranked,Bachelor in Journalism and Mass Communication,"High school diploma, English language proficiency"
Amity University Mumbai,India,Not ranked,Master in Computer Science,"Bachelor's degree, English language proficiency"
University of Southern Queensland Springfield Campus,Australia,Not ranked,Bachelor of Creative Arts,"High school diploma, English language proficiency"
University of Southern Queensland Springfield Campus,Australia,Not ranked,Master of Engineering,"Bachelor's degree, English language proficiency"
University of Piraeus,Greece,Not Ranked,Bachelor of Business Administration,"High School Diploma, minimum GPA of 2.5"
University of Piraeus,Greece,Not Ranked,Master of Science in Finance,"Bachelor's degree in related field, minimum GPA of 2.75"
University of Piraeus,Greece,Not Ranked,PhD in Management,"Master's degree in related field, research proposal"
University of Bonn,Germany,Not in the top 200,Bachelor of Science in Computer Science,"Minimum GPA of 2.5, IELTS 6.0"
University of Bonn,Germany,Not in the top 200,Master of Arts in History,"Minimum GPA of 3.0, IELTS 6.5"
University of Vermont,USA,Not in the top 200,Bachelor of Arts in Psychology,"Minimum GPA of 2.7, IELTS 6.0"
University of Vermont,USA,Not in the top 200,Master of Science in Environmental Studies,"Minimum GPA of 3.0, IELTS 6.5"
University of Wolverhampton,UK,Not in the top 200,Bachelor of Engineering in Mechanical Engineering,"Minimum GPA of 2.6, IELTS 6.0"
University of Wolverhampton,UK,Not in the top 200,Master of Business Administration,"Minimum GPA of 3.0, IELTS 6.5"
Amity University Lucknow,India,Not in the top 200,Bachelor of Business Administration,"Minimum GPA of 2.5, IELTS 6.0"
Amity University Lucknow,India,Not in the top 200,Master of Computer Applications,"Minimum GPA of 3.0, IELTS 6.5"
University of Ljubljana,"Ljubljana, Slovenia",Not ranked,Bachelor in Computer Science,"High school diploma, Mathematics proficiency, Letter of motivation"
University of Ljubljana,"Ljubljana, Slovenia",Not ranked,Master in Economics,"Bachelor's degree in related field, CV, Letter of recommendation"
University of Ljubljana,"Ljubljana, Slovenia",Not ranked,PhD in Biotechnology,"Master's degree in relevant discipline, Research proposal"
MZUZ University,"Blantyre, Malawi",Not ranked,Bachelor in Environmental Science,"High school diploma, Biology background"
MZUZ University,"Blantyre, Malawi",Not ranked,Master in Public Health,"Bachelor's degree in health-related field, Statement of purpose"
MZUZ University,"Blantyre, Malawi",Not ranked,PhD in Development Studies,"Master's degree in relevant field, Research experience"
Aristotle University of Thessaloniki,"Thessaloniki, Greece",Not ranked,Bachelor in Archaeology,"High school diploma, Interest in history and culture"
Aristotle University of Thessaloniki,"Thessaloniki, Greece",Not ranked,Master in Linguistics,"Bachelor's degree in related field, Language proficiency"
Aristotle University of Thessaloniki,"Thessaloniki, Greece",Not ranked,PhD in Physics,"Master's degree in Physics or equivalent, Research proposal"
University of Salzburg,"Salzburg, Austria",Not ranked,Bachelor in Business Administration,"High School Diploma, Letter of Motivation, IELTS 6.0"
University of Salzburg,"Salzburg, Austria",Not ranked,Master in Computer Science,"Bachelor's degree in related field, Letter of Recommendation, IELTS 6.5"
University of Central Lancashire,"Preston, England",Not ranked,Bachelor in Fashion Design,"High School Diploma, Portfolio, IELTS 6.0"
University of Central Lancashire,"Preston, England",Not ranked,Master in Marketing Management,"Bachelor's degree in related field, Statement of Purpose, IELTS 6.5"
University of Lethbridge,Canada,Not in the top 500,Bachelor of Arts in Psychology,"High school diploma, minimum grades of 70%, IELTS 6.5"
University of Lethbridge,Canada,Not in the top 500,Bachelor of Management,"High school diploma, minimum grades of 70%, IELTS 6.0"
University of Lethbridge,Canada,Not in the top 500,Bachelor of Science in Kinesiology,"High school diploma, minimum grades of 75%, IELTS 6.5"
University of Malaya,Malaysia,601-800 (THE World University Rankings),Bachelor of Business Administration,"High school diploma, minimum GPA of 3.0"
University of Malaya,Malaysia,601-800 (THE World University Rankings),Bachelor of Computer Science,"High school diploma, mathematics background"
University of Malaya,Malaysia,601-800 (THE World University Rankings),Bachelor of Arts in English Literature,"High school diploma, language proficiency"
University of Malaya,Malaysia,601-800 (THE World University Rankings),Bachelor of Science in Psychology,"High school diploma, science background"
University of Malaya,Malaysia,601-800 (THE World University Rankings),Bachelor of Engineering in Civil Engineering,"High school diploma, mathematics and physics background"
University of Malaya,Malaysia,601-800 (THE World University Rankings),Bachelor of Science in Biotechnology,"High school diploma, biology background"
University of Malaya,Malaysia,601-800 (THE World University Rankings),Bachelor of Laws (LLB),"High school diploma, legal interest"
University of Malaya,Malaysia,601-800 (THE World University Rankings),Bachelor of Science in Environmental Studies,"High school diploma, science background"
University of Malaya,Malaysia,601-800 (THE World University Rankings),Bachelor of Arts in History,"High school diploma, humanities background"
University of Malaya,Malaysia,601-800 (THE World University Rankings),Bachelor of Science in Mathematics,"High school diploma, mathematics background"
University of Warsaw,Poland,601-800 (THE World University Rankings),Bachelor of Economics,"High school diploma, mathematics background"
University of Warsaw,Poland,601-800 (THE World University Rankings),Bachelor of Arts in International Relations,"High school diploma, social sciences background"
University of Warsaw,Poland,601-800 (THE World University Rankings),Bachelor of Science in Physics,"High school diploma, science background"
University of Warsaw,Poland,601-800 (THE World University Rankings),Bachelor of Psychology,"High school diploma, science background"
University of Warsaw,Poland,601-800 (THE World University Rankings),Bachelor of Computer Science,"High school diploma, mathematics background"
University of Warsaw,Poland,601-800 (THE World University Rankings),Bachelor of Arts in History,"High school diploma, humanities background"
University of Warsaw,Poland,601-800 (THE World University Rankings),Bachelor of Science in Biotechnology,"High school diploma, biology background"
University of Warsaw,Poland,601-800 (THE World University Rankings),Bachelor of Laws (LLB),"High school diploma, legal interest"
University of Warsaw,Poland,601-800 (THE World University Rankings),Bachelor of Science in Environmental Studies,"High school diploma, science background"
University of Warsaw,Poland,601-800 (THE World University Rankings),Bachelor of Arts in English Literature,"High school diploma, language proficiency"
Christian-Albrechts-Universität zu Kiel,Germany,Not in the top rankings,Computer Science,"High School Diploma, Mathematics background, IELTS 6.0"
Christian-Albrechts-Universität zu Kiel,Germany,Not in the top rankings,Marine Biology,"High School Diploma, Biology background, IELTS 6.5"
University of Northern British Columbia,Canada,Not in the top rankings,Forestry,"High School Diploma, Biology background, IELTS 6.0"
University of Northern British Columbia,Canada,Not in the top rankings,Outdoor Recreation,"High School Diploma, Physical Education background, IELTS 6.5"
University of Sunderland in London,UK,Not in the top rankings,International Business Management,"High School Diploma, Business background, IELTS 6.5"
University of Sunderland in London,UK,Not in the top rankings,Fashion Product and Promotion,"High School Diploma, Design background, IELTS 6.0"
University of Texas at Tyler,USA,Not in the top rankings,Civil Engineering,"High School Diploma, Math and Science background, IELTS 6.5"
University of Texas at Tyler,USA,Not in the top rankings,Nursing,"High School Diploma, Biology background, IELTS 7.0"
University of Passau,Germany,Not in top rankings,Bachelor in International Cultural and Business Studies,"High School Diploma, Letter of Motivation, CV, IELTS 6.5"
University of Passau,Germany,Not in top rankings,Master in Cultural and Intellectual History between East and West,"Bachelor's degree, Letter of Motivation, CV, IELTS 6.5"
University of Wollongong in Dubai,United Arab Emirates,Not in top rankings,Bachelor of Commerce in Accountancy,"High School Diploma, Personal Statement, IELTS 6.5"
University of Wollongong in Dubai,United Arab Emirates,Not in top rankings,Master of International Business,"Bachelor's degree, Work Experience, IELTS 6.5"
University of Cologne,Germany,Not in top 500,Bachelor in Business Administration,"High school diploma, average grade of 2.5 or better, IELTS 6.5"
University of Cologne,Germany,Not in top 500,Master in Computer Science,"Bachelor's degree in related field, GPA 3.0 or higher, IELTS 6.0"
University of Cologne,Germany,Not in top 500,PhD in Economics,"Master's degree in Economics, research proposal, IELTS 7.0"
University of Texas at Arlington,USA,Not in top 500,Bachelor in Nursing,"High school diploma, SAT score of 1000, IELTS 6.0"
University of Texas at Arlington,USA,Not in top 500,Master in Civil Engineering,"Bachelor's degree in Engineering, GPA 3.0 or higher, IELTS 6.5"
University of Texas at Arlington,USA,Not in top 500,PhD in Psychology,"Master's degree in Psychology, GRE score of 300, IELTS 7.0"
University of Applied Sciences Europe,Germany,Not ranked,Media Spaces,"High school diploma, letter of motivation, CV, interview"
University of Applied Sciences Europe,Germany,Not ranked,Sustainable Design,"High school diploma, letter of motivation, CV, interview"
University of Applied Sciences Europe,Germany,Not ranked,Business Administration,"High school diploma, letter of motivation, CV, interview"
University of Wollongong in Malaysia,Australia,Not ranked,Computer Science,"High school diploma, letter of recommendation, personal statement"
